recipe_id,name,category,ingredients,steps,images
4320507,구운애호박 무침,한식,애호박 구매 | 고춧가루 1작은술 구매 | 양조간장 2/3큰술 구매 | 참기름 1작은술 구매 | 다진마늘 1작은술 구매 | 참깨 구매 | 다진파 구매 | 다진홍고추 구매,1. 애호박은 0.5cm크기로 송송 썰어 주세요. 그 후 키친타올로 수분을 살짝 제거해주었답니다 || 2. 달궈진 팬에 기름을 두른 후 수분을 제거한 애호박을 둘러 올린 후 앞뒤로 노릇하게 구워주세요. 중불에서 익히는 게 좋더라구요. || 3. 양념장 재료를 넣어 양념장을 만들어 줍니다. || 4. 준비된 양념장을 구운 애호박과 함께 조물조물 무쳐주세요.,4320507_step_1.jpg; 4320507_step_2.jpg; 4320507_step_3.jpg; 4320507_step_4.jpg
6895112,자취생 간단요리<메추리알볶음>,한식,메추리알 1봉지 구매 | 비엔나소세지 2봉지 구매 | 청양고추 1~3개 구매 | 고추장 1~1.5T 구매 | 케첩 4~5T 구매 | 진간장 1~1.5T 구매 | 설탕 2T 구매 | 물 5~7T 구매,1. 양념들은 한군데 모두넣고 잘 섞어주세요여기서 간보시고 고추장이 많으면케첩을 좀 더 넣어주세요! || 2. 비엔나는 칼집을 내어줍니다 || 3. 식용유를 약간 두른 팬에비엔나를 넣고 구워주세요 || 4. 비엔나가 거의 다 익을때쯤메추리알과 청양고추를 넣고같이 볶아줍니다 || 5. 비엔나가 완전히 익으면소스를 넣고 볶아주세요 || 6. 접시에 담아서 완성~!,6895112_step_1.jpg; 6895112_step_2.jpg; 6895112_step_3.jpg; 6895112_step_4.jpg; 6895112_step_5.jpg; 6895112_step_6.jpg
7020548,표고버섯꽈리고추볶음 장담합니다 앉은자리에서 뚝딱 사라지는 밑반찬,한식,표고버섯 200g 구매 | 꽈리고추 90g 구매 | 홍고추 1개 구매 | 양파 1/4개 구매 | 진간장 2큰술 구매 | 참치액 1/2큰술 구매 | 맛술 2큰술 구매 | 물엿 2큰술 구매 | 다진마늘 1큰술 구매 | 후추 톡톡 구매 | 도마 구매 | 조리용나이프 구매 | 계량스푼 구매 | 유리계량컵 구매 | 프라이팬 구매 | 조리용스푼 구매 | 접시 구매,"1. 표고버섯은 밑둥을 제거하고 슬라이스로 썰어주세요 (다른 야채들 적당한 크기로 썰어줍니다)도마,조리용나이프 || 2. 표고버섯 진간장 1큰술, 참기름 1큰술 넣어 밑간해주세요계량스푼 || 3. 분량의 양념장을 미리 섞어줍니 (진간장 2큰술, 참치액 1/2큰술 맛술 2큰술, 물엿 2큰술 다진마늘 1큰술, 후추 톡톡)유리계량컵 || 4. 팬에 기름을 두르고 꽈리고추 넣어 볶아줍니다(센불)프라이팬,조리용스푼 || 5. 팬바닥에 미리 만들어 두었던 양념장을 2~3번에 걸쳐 넣어 바르르 끓인 후 볶아요 || 6. 표고버섯을 추가로 넣어 볶다가 대파, 양파 볶아요 양파가 투명해지면 홍고추, 통깨 넣어 마무리 합니다",7020548_step_1.jpg; 7020548_step_2.jpg; 7020548_step_3.jpg; 7020548_step_4.jpg; 7020548_step_5.jpg; 7020548_step_6.jpg
6985504,10분요리) 양배추베이컨볶음!,한식,양배추채 3줌 구매 | 다진마늘 1스푼 구매 | 다진파 약간 구매 | 베이컨 7줄 구매 | 맛술 1T 구매 | 후추 톡톡 구매 | 진간장 1T 구매 | 굴소스 1스푼 구매 | 통깨 약간 구매,"1. 예열된 팬에 식용유를 두르고 다진마늘 1스푼을 넣어볶아줍니다. || 2. 다진파도 노르스름 해질때까지 같이 볶아주세요. || 3. 베이컨을 넣어줍니다. || 4. 맛술 1스푼을 넣어주세요. || 5. 후추도 톡톡 뿌려줍니다. || 6. 베이컨이 어느 정도 볶아지면, 양배추를 원하는 만큼 수북히 넣어주세요. || 7. 조리도구 2개를 이용하여, 잘 섞이도록 볶아줍니다. || 8. 진간장 한스푼, || 9. 굴소스 한스푼을 넣고, 양배추숨이 죽을때까지 잘 볶아주세요! || 10. 정말 간단한 메인반찬!양배추 베이컨 볶음이 완성되었습니다.",6985504_step_1.jpg; 6985504_step_2.jpg; 6985504_step_3.jpg; 6985504_step_4.jpg; 6985504_step_5.jpg; 6985504_step_6.jpg; 6985504_step_7.jpg; 6985504_step_8.jpg; 6985504_step_9.jpg; 6985504_step_10.jpg
6928511,휘리릭~ 초 간단 맛살 볶음,한식,맛살 5줄 구매 | 대파 적당량 구매 | 굴소스 구매 | 통깨 구매 | 카놀라유 구매,"1. 맛살 먹기 좋게 썰고대파는 어슷 썰기 || 2. 달군 팬에 기름을 두르고맛살을 볶아준다 || 3. 대파,굴소스 넣고 볶아준다 || 4. 마무리 통깨 솔솔 뿌려휘리릭~ 볶아 접시에 담아낸다",6928511_step_1.jpg; 6928511_step_2.jpg; 6928511_step_3.jpg; 6928511_step_4.jpg
7050521,봄철 최고의 겉절이 세발나물 겉절이 성공보장 레시피,한식,세발나물 200g 구매 | 식초 3큰술 구매 | 간마늘 1/2큰술 구매 | 당근 10g 구매 | 양파 20g 구매 | 매실액 1/2작은술 구매 | 참치액젓 1작은술 구매 | 간장 1/3작은술 구매 | 고춧가루 2큰술 구매 | 참기름 1큰술 구매 | 깨 1큰술 구매 | 니트릴장갑 구매 | 믹싱볼 구매 | 채반 구매 | 계량스푼 구매 | 도마 구매 | 조리용나이프 구매 | 접시 구매,"1. 한 봉지에 천원이면 구매 가능한 가성비 최고의 식재료 세발나물입니다. 시기에 따라서 줄기 부분이 억셀수 있으니 억센부분은 잘라주세요.니트릴장갑,믹싱볼 || 2. 흐르는 물에 가볍게 2차례 정도 세척해 줍니다. || 3. 물에 식초 1큰술을 넣어 식초물을 만들어 주세요. 이 상태로 1분간 놔두면 잔여 농약이 제거됩니다. || 4. 1분 후 흐르는 물로 2차례정도 헹궈 식초향을 제거합니다. 깨끗한 세발나물을 그 자체로 드셔보세요. 세발나물은 특이하게 바닷가에서 나는 채소라서 풀 자체만 먹어도 약간 짭조름하게 간이 돼 있습니다.채반 || 5. 그래서 양념을 많이 넣으면 안돼요. 매실액 1/2작은술, 참치액젓 1작은술, 간장 1/3작은술, 고춧가루 2큰술, 식초 2큰술, 물 1큰술을 넣어 약 5분간 양념을 불려주세요. 그럼 더 부드러운 양념장이 됩니다.믹싱볼,계량스푼 || 6. 양념장이 부드러워지는 동안 채소를 다듬어 볼게요. 양파 20g을 채썰어 줍니다.도마,조리용나이프양파 손질법 || 7. 식감과 색감을 더해줄 당근도 채썰어 주세요.당근 손질법 || 8. 손질한 채소를 볼에 담은 후 양념장을 넣어 버무려 줍니다. 세발나물은 손에 힘을 뺀 상태로 털어주듯 무쳐야 나물 식감이 살아있어요. || 9. 모든 양념이 잘 섞였다면 참기름 1큰술과 깨 1큰술을 넣어 마지막으로 버무려줍니다. || 10. 새콤매콤해서 흰밥에 비벼먹어도, 삼겹살과 함께 먹어도 맛있는 세발나물 겉절이가 완성되었습니다. 갑자기 더워진 날씨에 입맛이 없다면 이렇게 새콤한 봄나물을 드셔보세요.",7050521_step_1.jpg; 7050521_step_2.jpg; 7050521_step_3.jpg; 7050521_step_4.jpg; 7050521_step_5.jpg; 7050521_step_6.jpg; 7050521_step_7.jpg; 7050521_step_8.jpg; 7050521_step_9.jpg; 7050521_step_10.jpg
6962124,실패없이 만드는 밥도둑 감자스팸간장조림 황금레시피!!,한식,감자 큰거 1개 구매 | 스팸 200g 구매 | 당근 1토막 구매 | 쪽파 3뿌리 구매 | 간장 2T 구매 | 굴소스 1T 구매 | 올리고당 1T 구매 | 설탕 1T 구매 | 물 2T 구매 | 마늘 1/2t 구매 | 참기름 1T 구매 | 통깨 약간 구매,"1. 감자 큰거 1개는 깍두기 모양으로 썰어줍니다. || 2. 스팸 200g도 감자 크기로 썰어줍니다 || 3. 당근 한토막도 감자 크기로 썰어줍니다 || 4. 쪽파 3뿌리는 4cm길이로 잘라줍니다. || 5. 볼에 간장 2T / 굴소스 1T / 올리고당 1T / 설탕 1T / 물 2T / 마늘 1/2t를 넣고 설탕이 녹을때까지 섞어 준비해줍니다. || 6. 팔팔 끓는물에 감자와 당근을 넣고 2~3분간 삶아 준 다음 건져줍니다. || 7. 감자 삶은 물은 버리지 마시고,바로 스팸을 넣고 끓어오르면 바로 건져줍니다. || 8. 예열된 팬에 식용유를 두른뒤 감자와 당근을 볶아줍니다. || 9. 감자와 당근이 어느정도 볶아지면 스팸을 넣고, 스팸이 노릇해질때까지 볶아줍니다. || 10. 스팸이 노릇해지면 팬 한가운데 소스를 부어, 소스를 살짝 끓여준 다음 간이 배도록 볶아줍니다. || 11. 소스가 졸여지면서 간이 알맞게 배이면,쪽파/참기름 1T/통깨를 뿌려 섞어주면 완성입니다.",6962124_step_1.jpg; 6962124_step_2.jpg; 6962124_step_3.jpg; 6962124_step_4.jpg; 6962124_step_5.jpg; 6962124_step_6.jpg; 6962124_step_7.jpg; 6962124_step_8.jpg; 6962124_step_9.jpg; 6962124_step_10.jpg; 6962124_step_11.jpg
6922857,[아이반찬] 달콤 짧짤 바삭 부드러운 두부강정,한식,두부 200g 구매 | 전분가루 3큰술 구매 | 식용유 3큰술 구매 | 간장 1큰술 구매 | 물엿 1큰술 구매 | 케첩 1큰술 구매 | 다진마늘 1/2큰술 구매 | 물 3큰술 구매 | 참기름 1/2큰술 구매,"1. 두부는 흐르는 물에 깨끗하게 씻은 후 한 입크기로 잘라주세요두부 200g || 2. 전분가루를 넓은 접시에 3큰술 뿌려주세요 (전분가루가 없으시면 밀가루나 부침가루로 대체해도 됩니다)전분가루 3큰술위색팩에 전분가루와 두부를 함께 넣고 흔들어서 하는 방법도 있습니다 || 3. 전분가루를 묻히고 전분이 뭉친 부분은 탈탈 털어줍니다전분이 뭉친 부분은 튀기고 나서 식감이 안좋을수 있어요 || 4. 팬에 기름을 두르고 전분가루를 묻힌 두부를 튀기듯 노릇하게 구워줍니다식용유 넉넉히, || 5. 노릇하게 구운 두부는 키친타월에 기름기를 빼주세요 || 6. 소스 재료들을 다진마늘이 익고 걸죽한 농도가 될때까 끓여주세요간장 1큰술, 케첩 1큰술, 물엿 1큰술, 다진마늘 1/2큰술, 참기름 1/2큰술, 물 3큰술아이 연령에 맞춰 다진마늘은 가감해주세요아이가 케첩을 먹지 않는다면 빼서도 됩니다 || 7. 소스가 완성되면 불을 끄고 기름기를 뺀 두부를 넣고 골고루 섞어줍니다 || 8. 기호에 맞춰 통깨나 땅콩가루를 뿌려서 드세요~",6922857_step_1.jpg; 6922857_step_2.jpg; 6922857_step_3.jpg; 6922857_step_4.jpg; 6922857_step_5.jpg; 6922857_step_6.jpg; 6922857_step_7.jpg; 6922857_step_8.jpg
7004853,순두부장 만들기,한식,순두부 2봉 구매 | 양조간장 130g 구매 | 생수 130g 구매 | 매실청 1T 구매 | 설탕 1T 구매 | 다진파 1줌 구매 | 마늘 2톨 구매 | 고추가루 2T 구매 | 참기름 1T 구매 | 통깨 1T 구매 | 소스볼 구매 | 숟가락 구매 | 채반 구매 | 밀폐용기 구매,1. 양념장 만들기간장+물+매실청+설탕+다진파+다진마늘+고추가루+참기름+통깨 넣고 섞어 놓는다. || 2. 순두부는 봉투를 조심히 자르고 채에 올려 물기를 빼고 먹기 좋은 크기로 잘라서 통에 담아놓기 || 3. 순두부 넣은 용기에 양념장을 살살 부어주고 냉장고에 보관~하루 지난 후에 밥에 올려 먹거나 밥에 비벼 먹어도 좋다.꿀맛이라 밥도둑 인정~!,7004853_step_1.jpg; 7004853_step_2.jpg; 7004853_step_3.jpg
6837437,두부고기 맛이 나는 두부볶음~~,한식,단단한 두부 1모 구매 | 다진 마늘 1Ts 구매 | 물 3Ts 구매 | 고추장 평평하게 깎아서 계량 1Ts 구매 | 간장 1Ts 구매 | 굴소스 1/2Ts 구매 | 올리고당 2Ts 구매 | 참기름 1Ts 구매 | 깨 1Ts 구매,"1. 두부는 얇팍하게 썰어주세요두께가 약 5mm정도 되게~ 그리고 키친타올로 물기를 닦아서 달군팬에 오일을 두르고 중불에서 구워줍니다 || 2. 앞뒤로 노릇노릇 바삭하게 ~~여기에서 노릇하게 구워주셔야 두부고기처럼 쫄깃한 식감을 얻을 수 있답니다~ || 3. 두부가 다 구워졌다면 다진마늘을 약불에서 오일에 골든브라운이 될때까지 볶아주세요그리고 색이나면 바로 물을 3Ts넣어주세요 그래야 마늘이 타지않는답니다~ || 4. 볶은 마늘에 고추장, 간장, 굴소스, 올리고당을 넣고 약불에서 끓이다가 가상자리에 부르르끓어오르면 || 5. 구운두부를 넣고 볶다가 || 6. 참기름, 깨를넣고 버무려서 || 7. 접시에 담아냅니다",6837437_step_1.jpg; 6837437_step_2.jpg; 6837437_step_3.jpg; 6837437_step_4.jpg; 6837437_step_5.jpg; 6837437_step_6.jpg; 6837437_step_7.jpg
